P(topic 1),P(topic 2),P(topic 3)
0.3067164,0.6201728,0.07311071
0.105584,0.7888072,0.10560878
0.11659232,0.7668192,0.116588525
0.062408537,0.87507445,0.06251699
0.11222607,0.7755549,0.11221901
0.05898607,0.8820647,0.058949254
0.05194479,0.89621824,0.05183704
0.09371737,0.81256837,0.09371425
0.052965663,0.8941746,0.05285978
0.09456452,0.81086904,0.09456644
0.05000452,0.901306,0.0486895
0.06789659,0.8643096,0.067793824
0.053012975,0.8939647,0.05302232
0.074716486,0.8509225,0.07436104
0.08640111,0.82720023,0.08639863
0.08304977,0.8338952,0.083055
0.069580674,0.8593983,0.07102102
0.10406208,0.7918764,0.10406158
0.053015377,0.8940847,0.052899897
0.08319432,0.8336264,0.08317931
0.0678485,0.86437154,0.067779966
0.06607395,0.8683261,0.06559998
0.07776568,0.8445211,0.07771322
0.11206338,0.77588165,0.112055
0.09022038,0.819565,0.09021461
0.05683928,0.8866274,0.05653329
0.06449532,0.87161183,0.063892916
0.4673057,0.43995747,0.092736796
0.12529504,0.7494101,0.1252948
0.10315473,0.79369456,0.103150696
0.05920571,0.881718,0.05907627
0.106168576,0.78767,0.10616143
0.05260133,0.89488506,0.052513607
0.07262394,0.85498345,0.07239258
0.10920996,0.772339,0.11845105
0.08618976,0.8276742,0.08613603
0.05227464,0.8955133,0.052212022
0.07798826,0.84415966,0.07785208
0.05704734,0.8859827,0.05696999
0.42120633,0.52832663,0.05046707
0.061002277,0.87821764,0.06078012
0.056637622,0.88679713,0.056565277
0.08477479,0.83045423,0.08477096
0.060301792,0.8794472,0.060250986
0.105481364,0.7890376,0.105480984
0.07101096,0.85809976,0.07088926
0.062864445,0.8742963,0.06283925
0.09395569,0.8121224,0.09392193
0.0556608,0.8888661,0.055473045
0.11436162,0.77127653,0.11436183
0.06464716,0.8707825,0.06457032
0.08033567,0.8393309,0.0803334
0.06596247,0.86948484,0.06455267
0.07369093,0.85262,0.073689036
0.10373435,0.79257244,0.103693224
0.02027047,0.95808405,0.021645559
0.05850818,0.35711318,0.5843786
0.10438363,0.7913138,0.104302526
0.051936675,0.89616704,0.051896326
0.053992864,0.89202476,0.053982332
0.05004695,0.90068907,0.049263977
0.04949291,0.9010614,0.04944565
0.07711136,0.8457788,0.0771099
0.054815043,0.89044267,0.054742344
0.11446356,0.7711031,0.114433415
0.052303035,0.89541423,0.05228274
0.060657132,0.8787225,0.060620345
0.05382775,0.698492,0.24768028
0.058942746,0.8822295,0.05882778
0.08132808,0.83767426,0.08099768
0.066341124,0.86733025,0.06632861
0.07258665,0.8547425,0.07267083
0.090964384,0.8181148,0.09092076
0.09385635,0.8122883,0.09385536
0.049572654,0.9005651,0.049862266
0.4566652,0.43478796,0.10854682
0.067330465,0.86541873,0.067250825
0.07000994,0.86003643,0.06995359
0.054628693,0.8908943,0.05447699
0.06321025,0.8736443,0.06314551
0.24705596,0.6743289,0.0786151
0.0639791,0.87232417,0.06369678
0.08784092,0.8243235,0.08783561
0.08036194,0.8392722,0.080365814
0.016957978,0.9661801,0.016861953
0.09390506,0.81219155,0.093903415
0.0552502,0.8895167,0.05523315
0.064454935,0.87109417,0.06445091
0.08839708,0.8232083,0.088394664
0.08075754,0.8386058,0.08063665
0.07026933,0.85957056,0.070160195
0.08066007,0.83885306,0.080486886
0.06822354,0.863652,0.06812444
0.11494654,0.5708775,0.31417602
0.051356204,0.8973042,0.051339626
0.07213078,0.8557565,0.0721127
0.051475443,0.89714164,0.051382974
0.09085185,0.8182677,0.09088044
0.09568853,0.80860597,0.09570547
0.05172012,0.8965911,0.051688727
0.094355926,0.81130075,0.09434331
0.0619182,0.87621653,0.06186527
0.07235417,0.85531294,0.0723329
0.05599849,0.8123291,0.13167243
0.09117276,0.81771624,0.09111095
0.05779318,0.8845312,0.05767561
0.049568336,0.90084064,0.04959104
0.05180387,0.8963443,0.051851906
0.05547457,0.88903445,0.05549093
0.06262385,0.8733715,0.06400468
0.104061134,0.7915101,0.1044287
0.053024005,0.89402366,0.05295235
0.07676715,0.846475,0.07675782
0.10354591,0.79291564,0.10353839
0.054191012,0.89174104,0.05406794
0.055365764,0.88947415,0.055160124
0.08609599,0.82806593,0.08583804
0.09856867,0.8028622,0.09856908
0.058929056,0.8822878,0.05878314
0.05403695,0.8919537,0.054009356
0.077766664,0.8444968,0.077736504
0.085416295,0.8291661,0.08541761
0.0528944,0.8943418,0.052763786
0.058731403,0.8825894,0.058679216
0.054581624,0.89088374,0.054534655
0.05329569,0.89434564,0.05235865
0.083802365,0.83240294,0.08379467
0.05090421,0.8982863,0.05080956
0.06688573,0.86635363,0.06676067
0.12609302,0.31999892,0.55390805
0.07349535,0.8530059,0.07349874
0.10313166,0.7937578,0.10311051
0.07825317,0.84383774,0.077909105
0.054702025,0.8906407,0.05465725
0.05497021,0.8901232,0.054906677
0.051849358,0.8963037,0.051846936
0.057870008,0.8844908,0.0576392
0.0630702,0.87392926,0.06300059
0.09217337,0.8155673,0.09225935
0.10993549,0.78023267,0.10983184
0.069622144,0.86125624,0.06912163
0.06561786,0.8690054,0.06537669
0.06087399,0.8779095,0.061216503
0.08073351,0.8385705,0.080695994
0.09928509,0.8012294,0.099485524
0.112719,0.55956215,0.3277189
0.09229224,0.8154166,0.09229121
0.11460152,0.7707974,0.11460105
0.070300244,0.85945976,0.07023998
0.05315306,0.89379454,0.053052444
0.06035007,0.8794932,0.060156725
0.05688146,0.8863205,0.056798115
0.05076156,0.89849687,0.050741594
0.05560255,0.88875973,0.05563774
0.08890951,0.8221825,0.088908054
0.052506357,0.8951601,0.052333586
0.05421858,0.8915495,0.05423191
0.050994333,0.8980171,0.05098855
0.052738365,0.89423573,0.05302594
0.065989316,0.8683695,0.0656412
0.08567063,0.4935169,0.42081252
0.12205715,0.75592434,0.12201853
0.108332224,0.7833448,0.108322956
0.06872838,0.86261684,0.06865477
0.017035292,0.9643968,0.01856796
0.075920194,0.84819525,0.07588455
0.060004126,0.8800276,0.0599683
0.060682517,0.8788122,0.060505334
0.05629888,0.88703305,0.056668133
0.05198544,0.89605784,0.051956728
0.054315027,0.22432683,0.7213581
0.091344595,0.85358363,0.055071793
0.08362557,0.83286643,0.08350798
0.073140524,0.8545604,0.072299115
0.05456553,0.8909714,0.054463048
0.051759534,0.89616865,0.05207186
0.05712895,0.8852201,0.057650883
0.0491492,0.90168434,0.04916645
0.05417317,0.8917073,0.05411951
0.05437507,0.89137334,0.054251626
0.10216283,0.7956842,0.10215304
0.061377786,0.8771257,0.061496507
0.102594264,0.29723895,0.60016674
0.06609612,0.8721165,0.061787385
0.0803288,0.83934844,0.08032278
0.05238432,0.8952832,0.05233248
0.056674097,0.8866593,0.05666658
0.05797772,0.88410115,0.05792113
0.072834305,0.8543691,0.07279654
0.05292863,0.89398223,0.05308915
0.05541723,0.8896003,0.0549825
0.0894212,0.8211616,0.0894172
0.05698126,0.88602346,0.056995317
0.065809034,0.8679691,0.066221856
0.08056042,0.83902025,0.08041932
0.06553076,0.8689469,0.06552235
0.05488718,0.89037913,0.05473368
0.04911925,0.9017717,0.04910905
0.061667614,0.8817732,0.056559145
0.05204798,0.8959674,0.051984634
0.0547912,0.89016896,0.055039797
0.06272746,0.87773997,0.059532646
0.101309985,0.79738307,0.101306945
0.051718634,0.8966541,0.051627226
0.056360945,0.88735765,0.056281485
0.07509234,0.8499005,0.075007156
0.058692355,0.8836744,0.057633225
0.050432116,0.89915264,0.05041528
0.05447031,0.89115083,0.05437887
0.06386928,0.87236553,0.063765235
0.058183834,0.8836253,0.058190756
0.07918007,0.8417746,0.07904527
0.056271322,0.88749784,0.056230843
0.05560236,0.88877195,0.055625677
0.09250488,0.81499165,0.09250349
0.06483552,0.8703544,0.06481006
0.16675673,0.66648775,0.16675551
0.050304834,0.89984906,0.049846113
0.056291234,0.8874974,0.0562114
0.5438691,0.39927492,0.05685601
0.05529603,0.8894835,0.05522047
0.054887693,0.89041114,0.05470117
0.06404493,0.8719921,0.063962996
0.09024843,0.8195125,0.0902391
0.077964954,0.8440855,0.07794955
0.3608846,0.56319046,0.07592494
0.05529934,0.8894527,0.05524796
0.07131298,0.8574391,0.07124797
0.052287728,0.89577425,0.051938016
0.09581854,0.8083904,0.09579104
0.069801785,0.86045545,0.06974275
0.056728855,0.89065707,0.052614134
0.051067695,0.897927,0.0510053
0.05554981,0.8889124,0.05553778
0.06323709,0.8735473,0.06321554
0.05233088,0.89549696,0.052172154
0.04508053,0.9096157,0.04530375
0.049327407,0.90118766,0.04948493
0.07631161,0.8474455,0.07624288
0.06143129,0.8771511,0.06141767
0.056257077,0.8875655,0.056177452
0.050875947,0.8982614,0.05086265
0.08853059,0.8230752,0.08839425
0.13895646,0.72208995,0.1389536
0.048481103,0.90303344,0.04848545
0.06569824,0.8688055,0.06549615
0.10249153,0.7952079,0.10230058
0.04944303,0.9011655,0.049391467
0.06881674,0.86236835,0.068814926
0.0710146,0.8579634,0.07102192
0.10695945,0.7861539,0.10688665
0.08928407,0.82143474,0.08928119
0.058530606,0.8827069,0.058762524
0.08146853,0.8370841,0.08144732
0.06031839,0.88032407,0.059357528
0.05122348,0.89763063,0.05114589
